RPTID	CAUSE	CAUSE_TXT	PIPE_COAT	PIPE_COAT_TXT	VIS_EXAM	VIS_EXAM_TXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	PREV_DAM_UK	EARTH_MOVE	EARTH_MOVE_TXT	EARTH_MOVEO	FLOODS	FLOODS_TXT	FLOODSO	TEMPER	TEMPER_TXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TXT	THIRD_PARTY_TYPEO	EXCAV_TYPE	EXCAV_TYPE_TXT	EXCAV_ON	EXCAV_LAST_CONTACT	NOTIF	NOTIF_DATE	NOTIF_RCVD_TXT	MARKED	TEMP_MARK	TEMP_MARK_TXT	PERM_MARK	ACC_MARK	ACC_MARK_TXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TXT	PIPE_BODY	PIPE_BODY_TXT	PIPE_BODYO	COMPONENT	COMPONENT_TXT	COMPONENTO	JOINT	JOINT_TXT	JOINTO	BUTT	BUTT_TXT	BUTTO	FILLET	FILLET_TXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TXT	PIPE_SEAMO	FAIL_TYPE	FAIL_TYPE_TXT	CONS_DEF	CONS_DEF_TXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_MED	TEST_MED_TXT	TEST_MEDO	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TXT	MALFUNCO	THREADS	THREADS_TXT	THREADSO	SEAL	SEAL_TXT	SEALO	IO_TYPE	IO_TYPE_TXT	IO_TYPEO	IO_DRUG	IO_ALCO	MISC	UNKNOWN	UNKNOWN_TXT
20030149																																																																																															
20030150																																																																																															
20030151																																																																																															
20030152	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES	1939	NO																																																																																		
20030153																																																																																															
20030154																																																																																															
20030155	24	MISCELLANEOUS																																																																																											"DURING NITROGEN PURGING ACTIVITIES FOR LINE REPAIR, NITROGEN APPEARED TO BLOW THROUGH FRAC TANK."		
20030156																																																																																															
20030157	19	PIPE SEAM WELD																																																												5	HF ERW		2	MATERIAL DEFECT			NO	YES	4	26	1991	1	WATER		8	1952																	
20030158																																																																																															
20030159																																																																																															
20030160																																																																																															
20030161																																																																																															
20030162	3	EARTH MOVEMENT															4	OTHER	FROST HEAVE																																																																												
20030163	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		7	SELECTIVE SEAM CORROSION		YES	1958	NO																																																										8	4	1983																						
20030164																																																																																															
20030165	10	FIRE/EXPLOSION AS PRIMARY CAUSE																																											2	NATURAL																																																	
20030166																																																																																															
20030167	24	MISCELLANEOUS																																																																																											COMBINATION OF EQUIPMENT FREEZING AND OPERATOR ERROR.		
20030168																																																																																															
20030169																																																																																															
20030170																																																																																															
20030171	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20030172	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20030173																																																																																															
20030174	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	YES	6	16	1987	1	WATER		4	345																	
20030175	16	JOINT																																																			4	OTHER	SOCKET										1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	YES	3	17	1978	1	WATER		27	2160																	
20030176	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	8	FARMING		1	OPEN TRENCH	NO		NO			NO																																																									
20030177	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20030178	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES		NO																																																																																		
20030179																																																																																															
20030180																																																																																															
20030181	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1968	NO																																																																																		
20030182	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	NO																									
20030184	24	MISCELLANEOUS																																																																																											SUMP OVERFLOW		
20030185	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		5	CATHODIC PROTECTION DISRUPTED		YES	1966	NO																																																																																		
20030186																																																																																															
20030187	17	BUTT WELD																																																						1	PIPE								2	MATERIAL DEFECT				YES	9	10	1991	1	WATER		10	225																	
20030188	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT				YES	3	3	2003	3	OTHER	VOLUMETRIC VISTA 	3	184																	
20030189	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20030190																																																																																															
20030191	18	FILLET WELD																																																									5	OTHER	TANK SUMP				1	CONSTRUCTION DEFECT	2	PROCEDURE NOT FOLLOWED	NO	NO																									
20030192	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030193																																																																																															
20030194	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	6	PHONE/CABLE		1	OPEN TRENCH	NO		NO			NO																																																									
20030195	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1970	NO																																																																																		
20030196																																																																																															
20030197	25	UNKNOWN																																																																																												2	STILL UNDER INVESTIGATION
20030198																																																																																															
20030199																																																																																															
20030201	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	STANDING WATER IN LINE	YES	1994	NO																																																																																		
20030202	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20030203																																																																																															
20030204	2	"CORROSION, INTERNAL"	1	BARE	2	GENERAL CORROSION		1	GALVANIC		YES	1961	NO																																																																																		
20030205	24	MISCELLANEOUS																																																																																											TUBING CONNECTION FAILURE DUE TO IMPROPER ORIGINAL CONSTRUCTION.		
20030206																																																																																															
20030207	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		7	SELECTIVE SEAM CORROSION		YES	1965	NO																																																																																		
20030208	12	RUPTURE OF PREVIOUSLY DAMAGED PIPE																																																																																													
20030209																																																																																															
20030210																																																																																															
20030211																																																																																															
20030212																																																																																															
20030213																																																																																															
20030214																																																																																															
20030215	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT				NO																									
20030216																																																																																															
20030217	24	MISCELLANEOUS																																																																																											TANK WAS OPERATING WITHOUT LEVEL ALARMS.  DUE TO THE FREQUENCY OF THE USE OF THIS TANK THE ALARMS WERE NOT INSTALLED UPON INSTALLATION OF TANK.  THE LEVEL ALARMS HAVE BEEN INSTALLED AND A PROCESS TO DOCUMENT TRANSMIX LEVEL IN TANK EACH TIME THE TANK IS UTILIZED IS IN PLACE.  		
20030218	24	MISCELLANEOUS																																																																																											TANK ROOF DRAIN FAILURE		
20030219	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030220	2	"CORROSION, INTERNAL"																																																																																													
20030221																																																																																															
20030222																																																																																															
20030223	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20030224																																																																																															
20030225	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20030226																																																																																															
20030227																																																																																															
20030228																																																																																															
20030229																																																																																															
20030230	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20030233	16	JOINT																																																			1	GASKET											2	MATERIAL DEFECT			NO	YES	9	5	2002	1	WATER		8	677																	
20030234	3	EARTH MOVEMENT															4	OTHER	BOULDER UNDER PIPELINE																																																																												
20030236	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	DISBONDED COATING	YES	1969	YES	34	0																																																																																
20030237																																																																																															
20030238																																																																																															
20030239	14	BODY OF PIPE																																													5	OTHER	MANUFACTURING DEFECT																2	MATERIAL DEFECT			NO	YES			1962	1	WATER		24	1643																	
20030240																																																																																															
20030241																																																																																															
20030242																																																																																															
20030243																																																																																															
20030244																																																																																															
20030245																																																																																															
20030246																																																																																															
20030247																																																																																															
20030248																																																																																															
20030249	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20030250																																																																																															
20030251																																																																																															
20030252																																																																																															
20030253																																																																																															
20030254																																																																																															
20030255																																																																																															
20030256	18	FILLET WELD																																																									3	FITTING					1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20030257																																																																																															
20030258																																																																																															
20030259	15	COMPONENT																																																5	OTHER	SUCTION STRAINER													2	MATERIAL DEFECT			NO	NO																									
20030260																																																																																															
20030261																																																																																															
20030262	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20030263																																																																																															
20030264																																																																																															
20030265	2	"CORROSION, INTERNAL"	1	BARE	1	LOCALIZED PITTING		8	OTHER	WATER IN LOW PORTION OF STATIC DRAIN LINE.	NO		NO																																																																																		
20030266																																																																																															
20030267	15	COMPONENT																																																5	OTHER	TANK													2	MATERIAL DEFECT			NO	NO																									
20030268																																																																																															
20030269	3	EARTH MOVEMENT															4	OTHER	BOULDER UNDER PIPELINE																																																																												
20030270	9	THIRD PARTY EXCAVATION DAMAGE																								2	GOVERNMENT	1	ROAD WORK				NO		NO			NO																																																									
20030271	24	MISCELLANEOUS																																																																																											BOLT FAILURE ON VALVE		
20030272																																																																																															
20030273																																																																																															
20030274																																																																																															
20030275	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20030276																																																																																															
20030277																																																																																															
20030278	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1949	NO																																																																																		
20030280	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030281	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030282																																																																																															
20030283	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1949	NO																																																																																		
20030284																																																																																															
20030285																																																																																															
20030286	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20030287	16	JOINT																																																			1	GASKET											1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES		YES	6	5	2003	1	WATER		4	2100																	
20030288																																																																																															
20030290	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20030291																																																																																															
20030292																																																																																															
20030293																																																																																															
20030294																																																																																															
20030295	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030296	25	UNKNOWN																																																																																												1	INVESTIGATION COMPLETE
20030297	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20030298	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	3	WATER		1	OPEN TRENCH	YES		YES	5/15/2003	ONE-CALL SYSTEM	YES	1	FLAGS		2	INACCURATE	YES																																																			
20030299	2	"CORROSION, INTERNAL"	1	BARE	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1952	NO																																																																																		
20030300	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	DISBONDED COATING	YES	1982	NO																																																																																		
20030301																																																																																															
20030302	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	THERMAL RELIEF VALVE														
20030303																																																																																															
20030304																																																																																															
20030305	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		6	STRESS CORROSION CRACKING		YES	1978	NO																																																																																		
20030306	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	DRILLING REMEDIATION MONITORING	2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	3	PAINT	YES	1	ACCURATE	YES																																																			
20030307																																																																																															
20030308																																																																																															
20030309	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20030310																																																																																															
20030311																																																																																															
20030312																																																																																															
20030313																																																																																															
20030314																																																																																															
20030315																																																																																															
20030316																																																																																															
20030317	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	WATER	YES	1957	NO																																																																																		
20030318																																																																																															
20030319																																																																																															
20030320	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																3	DRESSER COUPLINGS												
20030321																																																																																															
20030322																																																																																															
20030323	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20030324	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													5	BLOCK VALVE															
20030325																																																																																															
20030326																																																																																															
20030327	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1960	NO																																																																																		
20030328																																																																																															
20030329	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	COATING FAILURE	YES	1965	NO																																																																																		
20030330	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION					NO	2003	NO																																																																																		
20030331																																																																																															
20030332	1	"CORROSION, EXTERNAL"	2	COATED	3	OTHER	NON DETECTABLE BY VISUAL EXAMINATION	6	STRESS CORROSION CRACKING		YES	1957	NO																																																																																		
20030333	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	PUMP BEARING														
20030334	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	3	POOR CONSTRUCTION PROCEDURES	NO	NO																									
20030335	15	COMPONENT																																																5	OTHER	2 INCH STAINLESS STEEL BRAIDED FLEX HOSE													2	MATERIAL DEFECT				NO																									
20030336																																																																																															
20030337	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20030338																																																																																															
20030339	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		5	CATHODIC PROTECTION DISRUPTED	DISBONDED COATING	YES	1958	NO																																																																																		
20030340	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	TO BE DETERMINED	8	OTHER	TO BE DETERMINED	NO		NO																																																																																		
20030342																																																																																															
20030343																																																																																															
20030344	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1958	NO																																																																																		
20030345																																																																																															
20030346	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	5	SEWER		1	OPEN TRENCH	YES		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS																																																							
20030347	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20030348	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	BRUSH REMOVAL & LAND LEVELING	1	OPEN TRENCH			NO			NO																																																									
20030349																																																																																															
20030350																																																																																															
20030351																																																																																															
20030352	24	MISCELLANEOUS																																																																																											SEE BELOW		
20030353	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	7	LANDOWNER - NOT FARMING RELATED		1	OPEN TRENCH	NO		NO			NO																																																									
20030354	1	"CORROSION, EXTERNAL"	1	BARE	2	GENERAL CORROSION		1	GALVANIC		YES	1971	NO																																																																																		
20030355																																																																																															
20030356																																																																																															
20030357																																																																																															
20030359																																																																																															
20030360																																																																																															
20030361	5	HEAVY RAINS/FLOODS																		5	OTHER	DRAINAGE TRASH																																																																									
20030362	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20030366																																																																																															
20030367	8	OPERATOR EXCAVATION DAMAGE																																																																					12	2	1992																						
20030368																																																																																															
20030370																																																																																															
20030371																																																																																															
20030372	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1974	NO																																																																																		
20030373																																																																																															
20030374	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1975	NO																																																																																		
20030375	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1975	NO																																																																																		
20030376																																																																																															
20030377	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		NO		NO																																																																																		
20030378	12	RUPTURE OF PREVIOUSLY DAMAGED PIPE																																																																																													
20030379	4	LIGHTNING																																																																																													
20030380	9	THIRD PARTY EXCAVATION DAMAGE																								2	GOVERNMENT	12	OTHER	SOIL BORING	2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	3	PAINT		2	INACCURATE	YES																																																			
20030381	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20030383	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	TRAFIC SIGNAL WIRING	2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	3	PAINT																																																							
20030384	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20030385																																																																																															
20030386																																																																																															
20030387																																																																																															
20030388																																																																																															
20030389																																																																																															
20030390	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20030391																																																																																															
20030392																																																																																															
20030393																																																																																															
20030394	15	COMPONENT																																																2	FITTING														1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	NO																									
20030395	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1974	NO																																																																																		
20030397																																																																																															
20030398	24	MISCELLANEOUS																																																																																											ROCK UNDER PIPE AND SOIL SHIFTED; THEN CAUSED ROCK TO PUNCTURE PIPE OVER TIME.		
20030399	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1999	NO																																																																																		
20030400	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	PARK JOGGING PATH	1	OPEN TRENCH	YES		NO			NO																																																									
20030401	4	LIGHTNING																																																																																													
20030402	4	LIGHTNING																																																																																													
20030403																																																																																															
20030404	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			4	OTHER	SEAL DISK								
20030405																																																																																															
20030406																																																																																															
20030407																																																																																															
20030408																																																																																															
20030409	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	INTERNAL	4	MICROBIOLOGICAL		YES	1959	NO																																																																																		
20030410																																																																																															
20030411	24	MISCELLANEOUS																																																																																											CRACKED WELD IN BOTTOM OF THE TANK.		
20030412																																																																																															
20030413	15	COMPONENT																																																5	OTHER	HOSE													2	MATERIAL DEFECT			NO	NO																									
20030414	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20030415	1	"CORROSION, EXTERNAL"	1	BARE	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20030416	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1960	NO																																																																																		
20030417	17	BUTT WELD																																																						2	FABRICATION								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	6	20	1994	1	WATER		8	1566																	
20030418																																																																																															
20030419																																																																																															
20030420																																																																																															
20030421	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20030422	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	HOSE FITTING											
20030423	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													6	RELIEF VALVE															
20030424	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030425																																																																																															
20030426	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		4	MICROBIOLOGICAL		YES	1964	NO																																																																																		
20030427	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	2	PIPELINE		1	OPEN TRENCH	NO		YES	1/1/2000	ONE-CALL SYSTEM	YES	1	FLAGS		1	ACCURATE	YES																																																			
20030428																																																																																															
20030429																																																																																															
20030430																																																																																															
20030431	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	YES	8	1	2003	1	WATER		8	1800																	
20030432	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	7	LANDOWNER - NOT FARMING RELATED		2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		NO			NO																																																									
20030433	2	"CORROSION, INTERNAL"	2	COATED	2	GENERAL CORROSION		1	GALVANIC		YES	1992	NO																																																																																		
20030434	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1950	NO																																																																																		
20030435	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	HYDRAULIC														
20030436																																																																																															
20030437	24	MISCELLANEOUS																																																																																											FAILURE OF NITRILE BAG USED FOR ISOLATION OF VAPORS DURING BEVELING OPERATION.		
20030438	8	OPERATOR EXCAVATION DAMAGE																																																																																													
20030439																																																																																															
20030440																																																																																															
20030441																																																																																															
20030442	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES						
20030443	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20030444																																																																																															
20030445																																																																																															
20030446	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	12	OTHER	PLOWING	1	OPEN TRENCH			NO			NO																																																									
20030447																																																																																															
20030448																																																																																															
20030449	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030450																																																																																															
20030451	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20030452																																																																																															
20030453																																																																																															
20030454	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		2	ATMOSPHERIC		YES	1957	NO																																																																																		
20030455	9	THIRD PARTY EXCAVATION DAMAGE																								1	GENERAL PUBLIC	7	LANDOWNER - NOT FARMING RELATED		2	"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)"	NO		NO			NO																																																									
20030456																																																																																															
20030457																																																																																															
20030458	19	PIPE SEAM WELD																																																												5	HF ERW		2	MATERIAL DEFECT			NO	YES	5		1995	1	WATER		8	1500																	
20030459																																																																																															
20030460																																																																																															
20030461	15	COMPONENT																																																1	VALVE														2	MATERIAL DEFECT			NO	NO																									
20030462	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	10	OTHER LIQUID OR GAS TRANSMISSION PIPELINE OPERATOR OR THEIR CONTRACTOR		1	OPEN TRENCH	YES		NO			YES	1	FLAGS		1	ACCURATE	YES																													1985																						
20030463	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		2	ATMOSPHERIC		NO		NO																																																																																		
20030464	14	BODY OF PIPE																																													5	OTHER	16																2	MATERIAL DEFECT			NO	YES	10	24	1991	1	WATER		8	1082																	
20030465	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20030466	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			2	O-RING									
20030467																																																																																															
20030468	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																													
20030469																																																																																															
20030470																																																																																															
20040001																																																																																															
20040002	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1997	NO																																																																																		
20040003																																																																																															
20040004	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	YES	8	1	2003	1	WATER		8	1800																	
20040005	15	COMPONENT																																																5	OTHER	PUMP													2	MATERIAL DEFECT			NO	NO																									
20040007	16	JOINT																																																			3	THREADS											2	MATERIAL DEFECT			NO	YES	8	1	2003	1	WATER		8	1800																	
20040008	17	BUTT WELD																																																						1	PIPE												NO	YES	5	24	2002	1	WATER		8	1284																	
20040009																																																																																															
20040010	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20040011	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	GRAVITOMETER PUMP														
20040012																																																																																															
20040013	15	COMPONENT																																																5	OTHER	STAINLESS STEEL TUBING													2	MATERIAL DEFECT			NO	NO																									
20040014	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	PIT	YES	1950	NO																																																																																		
20040015	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	SEE BELOW														
20040016	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	DISBONDED COATING	YES	1971	NO																																																																																		
20040017																																																																																															
20040018	15	COMPONENT																																																2	FITTING														2	MATERIAL DEFECT			NO	YES	8	1	2003	1	WATER		8	1800																	
20040019	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1999	NO																																																																																		
20040020																																																																																															
20040021	24	MISCELLANEOUS																																																																																											SEE ATTACHED REPORT		
